"https://vcloud.hudl.com/file/broadcast/3501843.m3u8?hfr=1 - Montpelier at Paulding | 2025-26 Boys Basketball | MySports.Live - Jan 24, 2026",
        "https://vcloud.hudl.com/file/broadcast/2043789.m3u8?hfr=1 - Continental at Paulding | 2024-25 Girls Basketball | MySports.Live - Feb 01, 2025",

        "https://vcloud.hudl.com/file/broadcast/2043777.m3u8?hfr=1 - Hicksville at Paulding | 2024-25 Boys Basketball | MySports.Live - Jan 31, 2025",

        "https://vcloud.hudl.com/file/broadcast/2025496.m3u8?hfr=1 - Edgerton at Paulding | 2024-25 Girls Basketball | MySports.Live - Jan 23, 2025",

        "https://vcloud.hudl.com/file/broadcast/1976206.m3u8?hfr=1 - Delphos Jefferson at Paulding | 2024-25 Boys Basketball | MySports.Live - Jan 18, 2025",

        "https://vcloud.hudl.com/file/broadcast/1976201.m3u8?hfr=1 - Ayersville at Paulding | 2024-25 Boys Basketball | MySports.Live - Jan 17, 2025",

        "https://vcloud.hudl.com/file/broadcast/1976196.m3u8?hfr=1 - Van Wert at Paulding | 2024-25 Girls Basketball | MySports.Live - Jan 14, 2025",

        "https://vcloud.hudl.com/file/broadcast/1920792.m3u8?hfr=1 - Liberty Center at Paulding | 2024-25 Boys Basketball | MySports.Live - Jan 11, 2025",

        "https://vcloud.hudl.com/file/broadcast/1920790.m3u8?hfr=1 - Paulding at Antwerp | 2024-25 Boys Basketball | MySports.Live - Jan 10, 2025",

        "https://vcloud.hudl.com/file/broadcast/1920789.m3u8?hfr=1 - Antwerp at Paulding | 2024-25 Girls Basketball | MySports.Live - Jan 09, 2025",

        "https://vcloud.hudl.com/file/broadcast/1897609.m3u8?hfr=1 - Wauseon at Paulding | 2024-25 Boys Basketball | MySports.Live - Jan 04, 2025",

        "https://vcloud.hudl.com/file/broadcast/1897608.m3u8?hfr=1 - Defiance at Paulding | 2024-25 Girls Basketball | MySports.Live - Jan 04, 2025",

        "https://vcloud.hudl.com/file/broadcast/1897607.m3u8?hfr=1 - Wayne Trace at Paulding | 2024-25 Boys Basketball | MySports.Live - Jan 03, 2025",

